Model,R²,RMSE,MAE
Random Forest,0.9745170966325145,5.149363313777565,2.85660292309173
XGBoost,0.9601445122610942,6.439811347976208,4.27733107781686
CatBoost,0.879995716735244,11.174483398219,8.19864724360843
LightGBM,0.7305174538358211,16.745356656723047,13.098941845161452
