Model,R²,RMSE,MAE
Random Forest,0.903367269595145,2.81535012399862,1.1718689152030657
XGBoost,0.8913307636712153,2.9855448147412,1.4711804312848553
CatBoost,0.7810810670651207,4.237521828252028,2.6098048069148705
LightGBM,0.6256383569158586,5.541354819110516,3.55768212620119
